signal_id,signal_date,zone_id,event_type,observed_count,expected_count,excess_count,z_score,risk_score,severity,confidence_score,confidence_label,evidence_class,source_granularity,source_file,decision_scope,recommended_action,data_limitations
OPS-EMS-OVERDOSE-911-RESPONSE-20240526,2024-05-26,Citywide,ems_overdose_911_response,70,80.5,-10.5,-0.6745,39.88,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-OVERDOSE-DEATH-20240601,2024-06-01,Citywide,overdose_death,49,66.0,-17.0,-2.0926,18.61,routine,0.405,low,real_public_aggregate,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240602,2024-06-02,Citywide,ems_overdose_911_response,70,75.5,-5.5,-0.371,44.44,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240609,2024-06-09,Citywide,ems_overdose_911_response,48,75.5,-27.5,-1.8548,22.18,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240616,2024-06-16,Citywide,ems_overdose_911_response,61,70.0,-9.0,-0.5519,41.72,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240623,2024-06-23,Citywide,ems_overdose_911_response,54,70.0,-16.0,-1.0792,33.81,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240630,2024-06-30,Citywide,ems_overdose_911_response,42,68.5,-26.5,-2.0597,19.1,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-OVERDOSE-DEATH-20240701,2024-07-01,Citywide,overdose_death,41,64.5,-23.5,-2.8753,6.87,routine,0.45,low,real_public_aggregate,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240707,2024-07-07,Citywide,ems_overdose_911_response,53,68.5,-15.5,-0.9504,35.74,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240714,2024-07-14,Citywide,ems_overdose_911_response,66,68.5,-2.5,-0.1249,48.13,watch,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240721,2024-07-21,Citywide,ems_overdose_911_response,62,66.5,-4.5,-0.3372,44.94,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240728,2024-07-28,Citywide,ems_overdose_911_response,44,64.0,-20.0,-1.5207,27.19,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-OVERDOSE-DEATH-20240801,2024-08-01,Citywide,overdose_death,47,61.0,-14.0,-1.2738,30.89,routine,0.45,low,real_public_aggregate,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240804,2024-08-04,Citywide,ems_overdose_911_response,61,61.5,-0.5,-0.0383,49.43,watch,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240811,2024-08-11,Citywide,ems_overdose_911_response,46,61.0,-15.0,-1.1903,32.15,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240818,2024-08-18,Citywide,ems_overdose_911_response,55,57.5,-2.5,-0.1874,47.19,watch,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240825,2024-08-25,Citywide,ems_overdose_911_response,56,54.5,1.5,0.1445,52.17,watch,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240901,2024-09-01,Citywide,ems_overdose_911_response,61,54.5,6.5,0.6745,60.12,high,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-OVERDOSE-DEATH-20240901,2024-09-01,Citywide,overdose_death,41,54.0,-13.0,-0.923,36.16,routine,0.45,low,real_public_aggregate,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240908,2024-09-08,Citywide,ems_overdose_911_response,43,55.5,-12.5,-1.5329,27.01,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240915,2024-09-15,Citywide,ems_overdose_911_response,47,54.5,-7.5,-0.7227,39.16,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240922,2024-09-22,Citywide,ems_overdose_911_response,54,54.0,0.0,0.0,50.0,watch,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20240929,2024-09-29,Citywide,ems_overdose_911_response,54,54.5,-0.5,-0.0482,49.28,watch,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-OVERDOSE-DEATH-20241001,2024-10-01,Citywide,overdose_death,37,48.0,-11.0,-1.0599,34.1,routine,0.45,low,real_public_aggregate,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20241006,2024-10-06,Citywide,ems_overdose_911_response,49,54.5,-5.5,-0.53,42.05,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20241013,2024-10-13,Citywide,ems_overdose_911_response,64,54.0,10.0,0.9636,64.45,high,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20241020,2024-10-20,Citywide,ems_overdose_911_response,62,54.0,8.0,0.7708,61.56,high,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20241027,2024-10-27,Citywide,ems_overdose_911_response,63,54.5,8.5,0.882,63.23,high,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-OVERDOSE-DEATH-20241101,2024-11-01,Citywide,overdose_death,40,44.0,-4.0,-0.386,44.21,routine,0.45,low,real_public_aggregate,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20241103,2024-11-03,Citywide,ems_overdose_911_response,57,54.5,2.5,0.2409,53.61,watch,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20241110,2024-11-10,Citywide,ems_overdose_911_response,42,55.5,-13.5,-1.5176,27.24,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20241117,2024-11-17,Citywide,ems_overdose_911_response,34,55.0,-21.0,-2.1791,17.31,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20241124,2024-11-24,Citywide,ems_overdose_911_response,53,54.0,-1.0,-0.0899,48.65,watch,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20241201,2024-12-01,Citywide,ems_overdose_911_response,50,53.5,-3.5,-0.3148,45.28,watch,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-OVERDOSE-DEATH-20241201,2024-12-01,Citywide,overdose_death,51,41.0,10.0,1.5617,73.43,high,0.45,low,real_public_aggregate,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20241208,2024-12-08,Citywide,ems_overdose_911_response,53,53.5,-0.5,-0.0566,49.15,watch,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20241215,2024-12-15,Citywide,ems_overdose_911_response,56,53.5,2.5,0.2883,54.33,watch,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20241222,2024-12-22,Citywide,ems_overdose_911_response,52,53.5,-1.5,-0.1722,47.42,watch,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-OVERDOSE-DEATH-20250101,2025-01-01,Citywide,overdose_death,62,41.0,21.0,3.2796,99.19,critical,0.45,low,real_public_aggregate,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20250105,2025-01-05,Citywide,ems_overdose_911_response,50,53.0,-3.0,-0.3443,44.83,routine,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20250112,2025-01-12,Citywide,ems_overdose_911_response,92,53.0,39.0,4.4952,100.0,critical,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20250119,2025-01-19,Citywide,ems_overdose_911_response,61,53.0,8.0,0.5705,58.56,watch,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-EMS-OVERDOSE-911-RESPONSE-20250126,2025-01-26,Citywide,ems_overdose_911_response,59,53.0,6.0,0.4291,56.44,watch,0.45,low,real_public_aggregate,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
OPS-OVERDOSE-DEATH-20250201,2025-02-01,Citywide,overdose_death,71,44.0,27.0,2.9343,94.01,critical,0.45,low,real_public_aggregate,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,citywide_readiness_only,Validate with internal incident data before geographic deployment,Citywide aggregate; no incident coordinates or exact timestamps. Do not infer neighborhood-level risk or causality.
