event_id,neighborhood,date,lat,lon,event_count,event_type,source_granularity,source_file,temperature_min_c,temperature_mean_c,temperature_max_c,precipitation_mm
REAL-DEATH-20240901,Citywide,2024-09-01,,,41,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,13.9,18.05,22.2,0.0
REAL-EMS-20240908,Citywide,2024-09-08,,,43,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,10.6,16.15,21.7,0.0
REAL-EMS-20240915,Citywide,2024-09-15,,,47,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.2,15.0,17.8,0.0
REAL-EMS-20240922,Citywide,2024-09-22,,,54,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.2,16.95,21.7,0.0
REAL-EMS-20240929,Citywide,2024-09-29,,,54,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,13.3,16.35,19.4,0.0
REAL-DEATH-20241001,Citywide,2024-10-01,,,37,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,16.1,25.25,34.4,0.0
REAL-EMS-20241006,Citywide,2024-10-06,,,49,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,20.0,28.35,36.7,0.0
REAL-EMS-20241013,Citywide,2024-10-13,,,64,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,13.9,18.9,23.9,0.0
REAL-EMS-20241020,Citywide,2024-10-20,,,62,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,11.1,17.75,24.4,0.0
REAL-EMS-20241027,Citywide,2024-10-27,,,63,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,13.3,16.950000000000003,20.6,0.0
REAL-DEATH-20241101,Citywide,2024-11-01,,,40,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,9.4,14.7,20.0,0.3
REAL-EMS-20241103,Citywide,2024-11-03,,,57,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,11.1,15.55,20.0,0.0
REAL-EMS-20241110,Citywide,2024-11-10,,,42,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,8.9,15.0,21.1,0.0
REAL-EMS-20241117,Citywide,2024-11-17,,,34,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,7.2,11.4,15.6,0.0
REAL-EMS-20241124,Citywide,2024-11-24,,,53,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,6.7,11.95,17.2,0.0
REAL-EMS-20241201,Citywide,2024-12-01,,,50,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,10.6,14.2,17.8,0.0
REAL-DEATH-20241201,Citywide,2024-12-01,,,51,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,10.6,14.2,17.8,0.0
REAL-EMS-20241208,Citywide,2024-12-08,,,53,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,9.4,14.15,18.9,0.0
REAL-EMS-20241215,Citywide,2024-12-15,,,56,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,6.1,9.15,12.2,0.0
REAL-EMS-20241222,Citywide,2024-12-22,,,52,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.2,13.6,15.0,4.6
REAL-EMS-20241229,Citywide,2024-12-29,,,30,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,11.1,13.9,16.7,7.1
REAL-EMS-20250101,Citywide,2025-01-01,,,30,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,5.6,9.2,12.8,0.0
REAL-DEATH-20250101,Citywide,2025-01-01,,,62,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,5.6,9.2,12.8,0.0
REAL-EMS-20250105,Citywide,2025-01-05,,,50,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,7.8,11.4,15.0,0.0
REAL-EMS-20250112,Citywide,2025-01-12,,,92,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,10.0,13.9,17.8,0.0
REAL-EMS-20250119,Citywide,2025-01-19,,,61,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,5.6,8.899999999999999,12.2,0.0
REAL-EMS-20250126,Citywide,2025-01-26,,,59,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,8.3,11.1,13.9,0.0
REAL-DEATH-20250201,Citywide,2025-02-01,,,71,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,11.7,14.2,16.7,4.3
REAL-EMS-20250202,Citywide,2025-02-02,,,66,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,13.9,15.0,16.1,2.8
REAL-EMS-20250209,Citywide,2025-02-09,,,68,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,3.9,8.9,13.9,0.0
REAL-EMS-20250216,Citywide,2025-02-16,,,66,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,7.2,11.1,15.0,0.0
REAL-EMS-20250223,Citywide,2025-02-23,,,74,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,9.4,13.05,16.7,0.0
REAL-DEATH-20250301,Citywide,2025-03-01,,,66,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,8.9,11.95,15.0,0.5
REAL-EMS-20250302,Citywide,2025-03-02,,,74,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,9.4,11.65,13.9,3.3
REAL-EMS-20250309,Citywide,2025-03-09,,,58,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,6.1,11.1,16.1,0.0
REAL-EMS-20250316,Citywide,2025-03-16,,,73,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,8.3,11.95,15.6,1.5
REAL-EMS-20250323,Citywide,2025-03-23,,,61,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,9.4,14.15,18.9,0.0
REAL-EMS-20250330,Citywide,2025-03-30,,,76,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,10.0,14.15,18.3,0.3
REAL-DEATH-20250401,Citywide,2025-04-01,,,59,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,9.4,11.65,13.9,8.1
REAL-EMS-20250406,Citywide,2025-04-06,,,65,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,8.9,14.15,19.4,0.0
REAL-EMS-20250413,Citywide,2025-04-13,,,77,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,8.3,16.950000000000003,25.6,0.0
REAL-EMS-20250420,Citywide,2025-04-20,,,63,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,9.4,13.3,17.2,0.0
REAL-EMS-20250427,Citywide,2025-04-27,,,70,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,10.0,11.95,13.9,0.0
REAL-DEATH-20250501,Citywide,2025-05-01,,,58,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,10.0,14.15,18.3,0.0
REAL-EMS-20250504,Citywide,2025-05-04,,,74,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,9.4,13.85,18.3,0.0
REAL-EMS-20250511,Citywide,2025-05-11,,,71,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,11.1,14.45,17.8,0.0
REAL-EMS-20250518,Citywide,2025-05-18,,,56,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,10.0,14.45,18.9,0.0
REAL-EMS-20250525,Citywide,2025-05-25,,,72,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,11.7,14.75,17.8,0.0
REAL-EMS-20250601,Citywide,2025-06-01,,,57,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.2,15.25,18.3,0.0
REAL-DEATH-20250601,Citywide,2025-06-01,,,44,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,12.2,15.25,18.3,0.0
REAL-EMS-20250608,Citywide,2025-06-08,,,59,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.2,15.8,19.4,0.0
REAL-EMS-20250615,Citywide,2025-06-15,,,58,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,10.6,14.75,18.9,0.0
REAL-EMS-20250622,Citywide,2025-06-22,,,63,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,11.7,15.55,19.4,0.0
REAL-EMS-20250629,Citywide,2025-06-29,,,64,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,11.1,15.85,20.6,0.0
REAL-DEATH-20250701,Citywide,2025-07-01,,,52,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,11.7,16.15,20.6,0.0
REAL-EMS-20250706,Citywide,2025-07-06,,,52,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.2,15.8,19.4,0.0
REAL-EMS-20250713,Citywide,2025-07-13,,,61,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.8,16.1,19.4,0.0
REAL-EMS-20250720,Citywide,2025-07-20,,,59,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.8,16.4,20.0,0.0
REAL-EMS-20250727,Citywide,2025-07-27,,,67,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,13.9,16.65,19.4,0.0
REAL-DEATH-20250801,Citywide,2025-08-01,,,49,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,13.9,16.95,20.0,0.0
REAL-EMS-20250803,Citywide,2025-08-03,,,57,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,13.3,16.950000000000003,20.6,0.0
REAL-EMS-20250810,Citywide,2025-08-10,,,73,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,13.9,17.25,20.6,0.0
REAL-EMS-20250817,Citywide,2025-08-17,,,58,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,15.6,18.9,22.2,0.0
REAL-EMS-20250824,Citywide,2025-08-24,,,52,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,15.6,18.1,20.6,0.0
REAL-EMS-20250831,Citywide,2025-08-31,,,54,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,15.6,21.95,28.3,0.0
REAL-DEATH-20250901,Citywide,2025-09-01,,,39,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,13.9,19.15,24.4,0.0
REAL-EMS-20250907,Citywide,2025-09-07,,,58,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,16.7,20.549999999999997,24.4,0.0
REAL-EMS-20250914,Citywide,2025-09-14,,,52,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,15.6,19.45,23.3,0.0
REAL-EMS-20250921,Citywide,2025-09-21,,,47,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,15.0,18.9,22.8,0.0
REAL-EMS-20250928,Citywide,2025-09-28,,,62,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,16.7,18.9,21.1,0.0
REAL-DEATH-20251001,Citywide,2025-10-01,,,35,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,17.8,20.0,22.2,0.0
REAL-EMS-20251005,Citywide,2025-10-05,,,67,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.2,18.299999999999997,24.4,0.0
REAL-EMS-20251012,Citywide,2025-10-12,,,64,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.2,16.65,21.1,0.0
REAL-EMS-20251019,Citywide,2025-10-19,,,39,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.8,16.950000000000003,21.1,0.0
REAL-EMS-20251026,Citywide,2025-10-26,,,65,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,13.9,16.65,19.4,0.8
REAL-DEATH-20251101,Citywide,2025-11-01,,,51,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,10.6,15.85,21.1,0.0
REAL-EMS-20251102,Citywide,2025-11-02,,,59,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,11.7,17.5,23.3,0.0
REAL-EMS-20251109,Citywide,2025-11-09,,,61,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.2,18.9,25.6,0.0
REAL-EMS-20251116,Citywide,2025-11-16,,,70,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,12.8,14.75,16.7,6.4
REAL-EMS-20251123,Citywide,2025-11-23,,,47,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,8.3,11.35,14.4,0.0
REAL-EMS-20251130,Citywide,2025-11-30,,,63,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,8.3,9.7,11.1,0.0
REAL-DEATH-20251201,Citywide,2025-12-01,,,40,overdose_death,monthly,datasf_jxrr-bmra_preliminary-unintentional-drug-overdose-deaths.csv,7.8,9.75,11.7,0.0
REAL-EMS-20251207,Citywide,2025-12-07,,,39,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,7.8,9.45,11.1,0.0
REAL-EMS-20251214,Citywide,2025-12-14,,,43,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,7.2,8.6,10.0,0.0
REAL-EMS-20251221,Citywide,2025-12-21,,,38,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,14.4,15.55,16.7,6.1
REAL-EMS-20251228,Citywide,2025-12-28,,,28,ems_overdose_911_response,weekly,datasf_ed3a-sn39_overdose-related-911-responses-by-emergency-medical-services.csv,6.1,10.0,13.9,0.0
